NUTS_ID;STAT;NAME;AI_2012;AI_2016;QoL;GEO_oblast
PL42;PL;Zachodniopomorskie;83,78293188;119,1555713;low;medium
PL43;PL;Lubuskie;77,98502838;103,6856797;low;medium
PL51;PL;Dolnoslaskie;104,4206387;124,7248754;low;medium
PL52;PL;Opolskie;115,2007133;135,116862;low;medium
PL61;PL;Kujawsko-Pomorskie;83,45340669;108,5153395;low;medium
PL62;PL;Warminsko-Mazurskie;58,61114518;101,3944486;low;medium
PL63;PL;Pomorskie;58,62194616;96,81886759;low;medium
PT11;PT;Norte;132,8872323;117,7292216;medium;high
PT15;PT;Algarve;141,4260792;120,6741914;medium;high
PT16;PT;Centro (PT);155,4258709;156,2030605;medium;high
PT17;PT;Área Metropolitana de Lisboa;122,3869366;113,972493;high;high
PT18;PT;Alentejo;167,9640821;161,3096172;low;high
RO11;RO;Nord-Vest;88,98147301;117,1350576;low;medium
RO12;RO;Centru;91,3017263;114,4582636;low;medium
RO21;RO;Nord-Est;85,75207444;68,98773449;low;high
RO22;RO;Sud-Est;109,9625826;95,30577033;low;high
RO31;RO;Sud - Muntenia;121,6307305;106,6777349;low;high
RO32;RO;Bucuresti - Ilfov;112,8129219;91,61576146;low;high
RO41;RO;Sud-Vest Oltenia;122,3567466;116,1290152;low;high
RO42;RO;Vest;112,8566755;100,2122418;low;high
SE11;SE;Stockholm;84,93994917;91,59580222;high;medium
SE12;SE;Östra Mellansverige;120,9969871;130,5657002;high;low
SE21;SE;Småland med öarna;131,8980725;143,0746509;high;low
SE22;SE;Sydsverige;110,4914129;123,4263362;high;low
SE23;SE;Västsverige;104,7549731;120,9056531;high;low
SE31;SE;Norra Mellansverige;150,9133694;155,0614823;high;low
SE32;SE;Mellersta Norrland;140,2203405;153,6916025;high;low
SE33;SE;Övre Norrland;133,8370631;144,4295733;high;low
SI03;SI;Vzhodna Slovenija;123,1558535;111,8781058;low;high
SI04;SI;Zahodna Slovenija;127,671156;99,35681237;medium;high
SK01;SK;Bratislavský kraj;97,39613797;109,2638114;high;medium
SK02;SK;Západné Slovensko;108,2177102;92,02063342;low;high
SK03;SK;Stredné Slovensko;82,54688505;102,6974612;low;medium
SK04;SK;Východné Slovensko;31,26053095;76,74455046;low;medium
