Hungary,HUN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.4428586004985
Iceland,ISL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
India,IND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,6.32012718366372
Indonesia,IDN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,6.8137888850495
"Iran, Islamic Rep.",IRN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,13.5158214339211
Iraq,IRQ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.9435274811941
Ireland,IRL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.8673179395073
Isle of Man,IMN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Israel,ISR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,48.4933780299146
Italy,ITA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,10.1588952683841
Jamaica,JAM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.5998887780463
Japan,JPN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.4933532923374
Jordan,JOR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.1471450920422
Kazakhstan,KAZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.7607472239097
Kenya,KEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.6767540211475
Kiribati,KIR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
"Korea, Dem. People's Rep.",PRK,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.9162140556663
"Korea, Rep.",KOR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.7215959575952
Kosovo,XKX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Kuwait,KWT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,67.4245219156707
Kyrgyz Republic,KGZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,40.8987845558737
Lao PDR,LAO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.4051624154875
Latvia,LVA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,48.2632004800104
Lebanon,LBN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,46.1810662789419
