NUTS2_Code,Country,Region_Name,Life_Expectancy,GDP_PPS
PL61,Poland,"Kujawsko-pomorskie",78.2,63
PL62,Poland,"Warmińsko-mazurskie",77.9,56
PL63,Poland,"Pomorskie",78.7,75
PL71,Poland,"Łódzkie",77.5,74
PL72,Poland,"Świętokrzyskie",78.2,60
PL81,Poland,"Lubelskie",78.6,55
PL82,Poland,"Podkarpackie",79.5,57
PL84,Poland,"Podlaskie",79.3,61
PL91,Poland,"Warszawski stołeczny",79.9,157
PL92,Poland,"Mazowiecki regionalny",77.7,71
RO11,Romania,"Nord-Vest",76.6,71
RO12,Romania,"Centru",77.0,71
RO21,Romania,"Nord-Est",75.5,48
RO22,Romania,"Sud-Est",75.7,59
RO31,Romania,"Sud-Muntenia",76.3,55
RO32,Romania,"Bucureşti-Ilfov",77.8,188
RO41,Romania,"Sud-Vest Oltenia",76.9,60
RO42,Romania,"Vest",76.4,78
RS11,Serbia,"Beogradski region",77.4,87
RS12,Serbia,"Region Vojvodine",75.3,47
RS21,Serbia,"Region Sumadije i Zapadne Srbije",76.4,33
RS22,Serbia,"Region Juzne i Istocne Srbije",75.6,38
SE11,Sweden,"Stockholm",85.0,153
SE12,Sweden,"Östra Mellansverige",83.7,97
SE21,Sweden,"Småland med öarna",84.0,93
SE22,Sweden,"Sydsverige",83.7,96
SE23,Sweden,"Västsverige",83.7,107
SE31,Sweden,"Norra Mellansverige",83.3,85
SE32,Sweden,"Mellersta Norrland",82.8,99
SE33,Sweden,"Övre Norrland",82.7,108
SI03,Slovenia,"Vzhodna Slovenija",81.3,72
SI04,Slovenia,"Zahodna Slovenija",83.2,110
SK01,Slovakia,"Bratislavský kraj",80.6,153
SK02,Slovakia,"Západné Slovensko",78.4,70
SK03,Slovakia,"Stredné Slovensko",78.0,62
SK04,Slovakia,"Východné Slovensko",78.2,54
